Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1477611840,682.75,683.0,682.75,683.0,0.6537,446.41307319,682.90205475
1477615440,684.99,684.99,684.99,684.99,0.0382894,26.227856105999997,684.99
1477619040,683.42,683.42,682.77,682.77,6.0086,4105.173412,683.21629198
1477622640,681.49,681.49,681.49,681.49,0.1782027,121.44335802,681.49
1477626240,682.98,682.98,682.98,682.98,0.055089099999999995,37.624753518,682.98
1477629840,683.29,683.29,683.29,683.29,0.04980299,34.029885037,683.29
1477633440,684.0,684.88,684.0,684.88,0.59145096,404.97243348,684.7100789
1477637040,682.79,682.79,681.0,681.0,11.84359901,8067.110037899999,681.13670778
1477640640,681.06,681.06,681.06,681.06,0.04413596,30.059236918000003,681.06
1477644240,683.9,683.9,683.9,683.9,0.151,103.2689,683.9
1477647840,685.06,685.06,685.06,685.06,4.52906532,3102.6814880999996,685.06
1477651440,685.99,686.43,685.99,686.43,10.44114043,7163.174937299999,686.05292548
1477655040,685.98,685.98,685.98,685.98,0.059791,41.01543018,685.98
1477658640,686.2,686.2,686.2,686.2,0.6990000000000001,479.6538,686.2
1477662240,684.93,684.93,683.43,684.86,12.95460935,8858.8951626,683.84116597
1477665840,683.52,683.53,683.52,683.53,1.74200001,1190.7037068,683.52680827
1477669440,686.6,686.6,685.68,686.32,0.53667191,368.01413421,685.733923
1477673040,686.28,686.28,686.28,686.28,0.02416066,16.580977745,686.28
1477676640,686.3,687.05,686.3,687.05,0.07271309,49.939961167,686.80840227
1477680240,685.86,685.86,685.86,685.86,0.09,61.7274,685.86
1477683840,684.74,684.74,684.74,684.74,0.65427725,448.00980416,684.74
1477687440,684.62,684.62,684.27,684.27,0.3301,225.881027,684.28060285
1477691040,685.44,685.44,685.44,685.44,0.54154995,371.19999773,685.44
1477694640,685.24,685.24,685.24,685.24,0.00150047,1.0281820628,685.24
1477698240,684.6,686.35,684.6,686.35,0.02971708,20.362770217999998,685.22109904
1477701840,686.15,686.45,685.13,685.13,0.30204845,206.99645455,685.30877927
1477705440,687.21,687.21,687.21,687.21,7.034,4833.83514,687.21
1477709040,699.0,699.0,698.88,698.88,0.08509497,59.47527126399999,698.92816536
1477712640,698.0,698.0,696.55,696.55,0.08263978,57.670979331000005,697.85978775
1477716240,696.64,697.98,696.52,697.98,1.32,921.25507525,697.92051155
1477719840,698.55,698.55,698.55,698.55,0.26,181.623,698.55
1477723440,699.02,699.02,699.02,699.02,1.14506002,800.41985518,699.02
1477727040,700.0,700.02,700.0,700.0,11.85656479,8299.6237721,700.00239691
1477730640,698.35,698.35,698.35,698.35,0.89457951,624.72960081,698.35
1477734240,700.02,700.02,700.02,700.02,0.01832575,12.828391515,700.02
1477737840,700.11,700.11,700.11,700.11,0.01338522,9.3711263742,700.11
1477741440,699.97,699.97,699.97,699.97,0.03,20.9991,699.97
1477745040,702.35,702.35,699.12,699.12,3.0,2102.6085092999997,700.86950311
1477748640,705.86,705.86,705.86,705.86,13.0,9176.18,705.86
1477752240,706.7,706.7,706.7,706.7,0.0278,19.64626,706.7
1477755840,712.28,712.77,712.28,712.77,0.18469622,131.56893288,712.35314335
1477759440,708.42,708.42,707.69,708.42,0.50094816,354.73669726,708.13055238
1477763040,711.09,711.67,711.09,711.67,0.71527642,508.7072041999999,711.20365495
1477766640,710.71,710.71,710.71,710.71,0.06458818,45.903465408,710.71
1477770240,712.17,712.17,712.17,712.17,0.04,28.4868,712.17
1477773840,713.9,713.9,713.9,713.9,3.99,2848.461,713.9
1477777440,713.0,713.0,713.0,713.0,0.01981644,14.12912172,713.0
1477781040,712.0,712.0,712.0,712.0,0.9653226,687.3096912000001,712.0
1477784640,712.07,712.07,711.41,711.41,2.0,1423.4333,711.71665
1477788240,707.34,707.34,707.34,707.34,0.01,7.0734,707.34
1477791840,696.5,697.47,696.5,697.47,21.06014177,14668.428512999999,696.5018884
1477795440,699.68,699.68,699.31,699.31,0.10019261,70.090019505,699.55278643
1477799040,702.4,702.4,702.4,702.4,0.0138143,9.70316432,702.4
1477802640,705.0,705.0,705.0,705.0,0.20897535,147.32762175,705.0
1477806240,700.1,704.59,700.08,704.57,4.466993700000001,3139.9771554000004,702.92849425
1477809840,702.74,702.74,702.74,702.74,0.46387827,325.98581546,702.74
1477813440,700.42,700.42,700.42,700.42,1.66800001,1168.300567,700.42
1477817040,707.08,707.08,704.07,707.08,1.69181262,1195.5876773,706.69036465
1477820640,708.55,708.55,708.55,708.55,2.0,1417.1,708.55
1477824240,702.44,702.44,702.44,702.44,0.30548675,214.58611267,702.44
1477827840,704.0,704.0,704.0,704.0,0.03044904,21.43612416,704.0
1477831440,700.01,700.01,700.01,700.01,1.6,1120.016,700.01
1477835040,701.87,701.87,701.86,701.86,0.02874146,20.172593016,701.86389333
1477838640,700.54,700.56,699.58,700.56,2.13824189,1497.275515,700.23673281
1477842240,703.24,703.24,703.24,703.24,0.03957429,27.830223699999998,703.24
1477845840,703.01,703.01,703.0,703.0,50.00017575,35150.423552,703.00599998
1477849440,703.94,703.94,703.94,703.94,0.0179,12.600526,703.94
1477853040,702.64,702.64,702.61,702.61,0.45799999999999996,321.80642,702.6341047999999
1477856640,701.01,701.01,701.01,701.01,0.10506897,73.65439866,701.01
1477860240,698.0,698.0,698.0,698.0,0.09,62.82,698.0
1477863840,699.98,699.98,699.98,699.98,0.17656777,123.59390764,699.98
1477867440,695.0,696.55,693.01,696.55,1.286029,893.78867838,694.9988517999999
1477871040,697.3,697.71,697.3,697.71,3.5,2440.6731775,697.33519358
1477874640,696.0,696.0,695.03,695.03,10.0,6950.3142493000005,695.03142493
1477878240,690.0,690.0,690.0,690.0,0.01373852,9.4795788,690.0
1477881840,690.09,690.09,690.09,690.09,2.87223925,1982.103584,690.09
1477885440,691.93,691.94,690.98,690.98,8.96285369,6194.3329671,691.11169069
1477889040,691.91,691.93,691.91,691.93,2.259,1563.0575374000002,691.9245407000001
1477892640,693.99,693.99,691.48,691.48,0.311662,216.27010626,693.92516976
1477896240,693.99,693.99,693.0,693.0,0.6407857,444.68896794,693.97455022
